,Question,Answer
13,Can I use 5G Data bundle while outside 5G coverage?,"Yes. 5G data bundle will be usable when phone is connected to other Network types(4G/3G).
"
14,Can I purchase 5G bundle multiple times?,"Yes. You can purchase the bundles as many times.
"
15,How many 5G bundle offers can customers see when they dial *444# or *544#?,"The 5G bundle will be personalized offers under data deals and thus each customer is provided with only one offer.
"
16,What is the Hourly YouTube Bundle?,"
This is a 1-hour validity YouTube bundle that the customer can use solely for purposes of accessing YouTube content on their devices. Customer will receive 1GB for Only ksh 10 valid for 1 hour.

"
17,How different is it compared to the existing YouTube packs?,"
The existing YouTube bundles have a validity of 24hrs, the hourly YouTube bundle will be valid for only 1 hour after purchase.

"
18,How can I purchase the bundle?,"
The bundle will be available on *544# on option 0 (not 1). Customer will select the YouTube bundle option then select the hourly pack.

"
19,How will the bundle work?,"Customer will dial the USSD code *544# option 0, or go to my Safaricom app under data calls and SMS- and select YouTube to purchase the hourly bundle.
Validity for the bundle will be 1 hour
The bundle can only be consumed when customer is accessing YouTube content
Unused resources will expire after one hour
Customer can purchase the bundle as many times
"
20,What is the priority of the YouTube Bundles?,"
The hourly YouTube bundles will have the highest priority to the 24-hour packs

"
21,What payment options are available for this product?,"
The customer can pay using airtime or M-PESA

"
22,Can I use the hourly YouTube bundle to browse other content apart from YouTube?,"
The bundle can only be used to watch vides on YouTube; it will not be consumed if customer accesses other data content

"
23,Can I transfer / sambaza my YouTube pack?,"
The YouTube bundle cannot be transferred or sambaza to other MSISDNs.

"
24,What are All in One Monthly Bundles?,"All In One bundle is a new integrated voice, data and SMS plan that allows you to choose a voice and data combination that suits your needs. Our All In One plans are in KShs. 1,000, KShs. 2,000, KShs. 3,000, KShs. 5,000 and KShs. 10,000 price points. All In One bundles allow our customers free WhatsApp after the bundle is finished so that they can continue keeping in touch.
Customers can access these bundles on;
The customer then selects their preferred plan, available at five price points.
USSD *544#
mySafaricom APP
www.safaricom.com
"
25,Who is eligible?,"The All In One monthly bundles are available to all Safaricom customers (Prepaid, PostPay and Hybrid).
"
26,What are the available purchase options for the All in One Monthly bundles?,"Kshs.
Data bundle
Voice resources
SMS resources
100/=
400MB
20 minutes
50SMS
250/=
1GB
50 minutes
100SMS
500/=
2GB
100 minutes
500 SMS + Free WhatsApp
1,000/=
8GB
400 minutes
1,000 SMS + Free WhatsApp
2,000/=
17GB
1,000 minutes
2,000 SMS + Free WhatsApp
3,000/=
27GB
1,500 minutes
3,000 SMS + Free WhatsApp
5,000/=
47GB
2,500 minutes
5,000 SMS + Free WhatsApp
10,000/=
100GB
7,500 minutes
10,000 SMS + Free WhatsApp

"
27,Does access to Free WhatsApp come with all All In One Monthly bundles?,"Yes, free WhatsApp is available once the customers exhaust their data bundle and the expiry date has not yet elapsed.
"
28,Can I purchase 2 different All in one monthly bundle for different amounts within the same month?,"Yes, you can purchase the bundle as many times as you wish.
"
29,How do I check my balance?,"Balance check on USSD *544# to show the balance of all the resources remaining (data and minutes).
"
30,Can I make international calls using the bundles?,"NO, you cannot make international calls with the bundles.
"
31,How do I stop auto renew?,"Subscribers on All in One Monthly Bundles can Stop Automatic monthly renewals by dialling *544# and selecting “Stop Auto Renew”.
"
32,What happens when I purchase a bundle erroneously?,"Our customer care agent will raise a ticket to our support team for the reversal to be effected.
"
33,Will the resources roll over?,"Resources will expire in 30 calendar days. Data bundle will roll over upon renewal with another all-in-one bundle. Minutes and SMS will expire in 30 days with no option of roll over.

"
34,What is Bonga Bundle?,"This is a Service that will give Safaricom subscribers an opportunity to access and buy data bundles using their Bonga points at 1 Bonga point = 1 MB conversion rate.
"
35,What will be the conversion rate for buying Bonga Bundles?,"Conversation rate when buying Bonga 121 Bundles will be at the rate of 1 point = 1 MB
"
36,How do I access the Bundles?,"Customers will be able to access the service via short code *444*11# or under Tunukiwa Special, thereafter the offers will be made available via the other Bonga channels e.g. *126#, mySafaricom App and the web.
"
37,What will be the validity of the Bundles?,"The validity of the bundles will be 1 week (7 days) and this will be presented to the customer at the time of purchase.
"
38,Will the 1 to 1 conversion rate apply to all the other Tunukiwa data Bundles?,"No, the 1 to 1 conversion rate will only apply to the Special Bonga bundles available from the above channels and the conversion rates will be indicated at the time of purchase.
"
39,Available Options,"Bonga Points
MBs
Validity
20
20
7 days
50
50
7 days
100
100
7 days
250
250
7 days
500
500
7 days
1000
1000
7 days
"
40,What are the revamped Safaricom data bundles,"The Revamped safaricom Data bundles now offer you more data bundles at no extra cost. Additionally, we are creating a worry free experience on selected bundles by ensuring that customers can continue accessing WhatsApp for free when their data bundles run out.
Customers will also have the option of using their Bonga Points to purchase their preferred bundle.
"
41,What will be the new data bundles offers?,"1. Daily Plan
Resources
Price
Bonga Points
Validity
7MB + 7SMS
5/=
7
24 hours
15MB + 15SMS
10/=
15
24 hours
50MB + 50SMS + WhatsApp
20/=
50
24 hours
150MB + 150SMS + WhatsApp
50/=
150
24 hours
500MB + 500SMS + WhatsApp
99/=
500
24 hours
2. Weekly Plan
Resources
Price
Bonga Points
Validity
100MB
50/=
100
7 days
350MB + WhatsApp
99/=
350
7 days
1GB + WhatsApp
250/=
1,000
7 days
3GB + WhatsApp
500/=
3,000
7 days
3. Monthly data Plans
Resources
Price
Bonga Points
Validity
350MB
250/=
350
30 days
2GB + WhatsApp
500/=
2,000
30 days
5GB + WhatsApp
1000/=
5,000
30 days
15GB + WhatsApp
2000/=
15,000
30 days
25GB + WhatsApp
3000/=
25,000
30 days
4. Blaze Bundles

Resources
Price
Bonga Points
Validity
25 MB +25 SMS
10/=
25
24 Hours
70 MB + 70 SMS + WhatsApp
20/=
70
24 Hours
200 MB + 200 SMS + WhatsApp
50/=
200
24 Hours
1GB + 200 SMS + WhatsApp
100/=
1000
24 Hours
Power Hour 250MB
19/=
250
1 hour
350 MB + WhatsApp
99/=
350
7 days
1GB + WhatsApp
250/=
1000
7 days
4GB + WhatsApp
500/=
4000
7 days
3GB + WhatsApp
500/=
3000
30 days
7.5GB + WhatsApp
1000/=
7500
30 days
20GB + WhatsApp
2000/=
2000
30 days
"
42,How can I purchase the new data bundles?,"The new data plans are available on *544#, *555#, my safaricom app, Blaze app and www.safaricom.co.ke/bundles.
"
43,Does free access to WhatsApp come with all bundles?,"No, free WhatsApp only comes with specified bundle as outlined in the tables above.
"
44,Does free access to WhatsApp come with all bundles?,"No, free WhatsApp only comes with specified bundle as outlined in the tables above.
"
45,When can I access the free WhatsApp?,"You can only access FREE WhatsApp after you have depleted your data bundles but still within the bundle validity. Free access to WhatsApp kicks in when you do not have any other active data bundles.
"
46,For how long will I be able to access the FREE WhatsApp?,"You will be able to access FREE WhatsApp as long as the Bundle validity has not expired.
"
47,Is there a limit applied when using free WhatsApp?,"No, the WhatsApp will be FREE as long as the Bundle validity has not expired.
"
48,Who can purchase the new data bundles?,"The new data bundles are available to all safaricom customers (prepaid, postpaid and hybrid).
"
49,Can I use my Bonga points to purchase the new data bundles?,"Yes, you can purchase the new data bundles using airtime, Bonga Points and MPESA.
"
50,Can I purchase the new bundles for another number?,"Yes, you can purchase for a number Weekly, Monthly and 90-day data bundles
"
51,What will be the new matrix for data Bonga point’s redemption?,"The new bonga bundles can be accessed via *444*11# or *126#.
Resources
Points
Validity
20MB
20
7 days
50MB
50
7 days
100MB
100
7 days
250MB
250
7 days
500MB
500
7 days
1000MB
1000
7 days
"
52,Can I purchase the new bonga bundles for another number?,"No, you can only purchase bonga bundles for self.
"
53,What are the new rates for Okoa bundles?,"The new okoa bundles can be accessed via *544# or www.safaricom.co.ke/bundles.
1. Daily Plan
Resources
Bonga Points
Validity
5 MB
5/=
24 hours
10 MB
10/=
24 hours
45MB+ WhatsApp
20/=
24 hours
120MB + WhatsApp
50/=
24 hours
450MB+WhatsApp
99/=
24 hours
"
54,Can I extend the validity of the free WhatsApp by purchasing another bundle before the expiry of the current one?,"No, you cannot extend the validity of the free WhatsApp.
"
55,Will I continue to access free WhatsApp while still having an active bundle?,"No, you can only access free WhatsApp if you have depleted all your data bundles.
"
56,Will I continue to access free WhatsApp while still having an active bundle?,"No, you can only access free WhatsApp if you have depleted all your data bundles.
"
57,How is Facebook Free Mode different from regular Facebook?,"This version of Facebook allows people to flexibly move between two modes – Free Mode and Data Mode. Free Mode is a lightweight version of Facebook where you can post, comment, and like for free.
To view photos or videos, switch to Data Mode (full Facebook) by clicking the “See Photos” button. You will be charged for data (MBs) in this mode. Go back to Free Mode any time by clicking the “Go to Free” button
"
58,Will I have access to Facebook Free Mode even if I do not have an airtime/data balance?,"The Free Mode can be accessed without data charges, therefore, when you have run out of data or airtime, you are still able to enjoy Facebook Free Mode.
"
59,Who is eligible for Facebook Free Mode and how do I access it?,"All Safaricom users can enjoy Facebook for free by default.
To access Facebook Free Mode, customers can go to facebook.com using a mobile browser on a data-capable phone with a Safaricom SIM card. All major mobile browsers, such as Google Chrome, Android browser, Opera Mini, and Safari are supported. Internet Explorer mobile browser and Firefox browser for Android may be supported but are not guaranteed to be supported. WAP browsers are not supported.
Alternatively, customers can access Facebook Free Mode through the Facebook Android app. The core Facebook Free Mode feature is supported in the Facebook Android app version 43+ (released Oct 2015). Some user interface improvements were made in version 61+ (released Feb 2016). But the core toggling functionality between Free Mode and paid mode is available in version 43+.
Facebook iOS app, Facebook Windows Phone app, and Facebook BlackBerry app are not supported. Customers using these operating systems would need to use a supported mobile browser to access Facebook Free Mode.
"
60,"When I use Facebook Free Mode, I can see photos. Am I being charged?","If you are in Free Mode, you are not being charged. You can check if you are in Free Mode by looking at the top of your Facebook.
For new Facebook users or Facebook users that haven’t used Facebook in a while (last 15 days), you may still be able to see photos in Free Mode. This is a short promotion for your first 14 days on Facebook. Once this short promotion is complete, you will no longer be able to see photos in Free Mode.
"
61,How can I view the full Facebook experience?,"You can view the full Facebook experience with photos and videos by clicking on “See Photos” button, which switches you to Data Mode. Keep in mind that standard data charges will apply. You can go back to Free Mode anytime by clicking the “Go to Free” button.
"
62,For how long can I be on Free Mode?,"It has been capped at 20MB free mode consumption.
"
63,Who is a returning customer?,"A returning customer is a Facebook user who has been inactive for 15days on Facebook.
"
64,What is the offer for returning customers?,"They will experience Free full Facebook experience for 3 days.
"
65,Who is a new customer?,"A new customer is a Facebook user who has been never logged on to Facebook.
"
66,What is the offer for returning customers?,"They will experience Free full Facebook experience for 14 days.
"
67,How do I opt out of using Facebook Free Mode?,"On the initial screen that invites you to participate, simply click “No Thanks” instead of “Continue.
"
68,What if I initially clicked “No Thanks” to Facebook Free Mode but now I want to use it?,"If you’re using the Facebook Android app, visit your bookmarks within the Facebook app and click “Facebook Free Mode” under Favorites. If using facebook.com, go to your Facebook menu and click “Facebook Free Mode” under Favorites.
"
69,What if I started using Facebook Free Mode but now I don’t want to use it anymore?,"To opt-out of Facebook Free Mode: When in Data Mode, click on the “?” next to “Data Mode.”
You can also visit your Facebook bookmarks (if using the Facebook Android app) or Facebook menu (if using facebook.com) to opt-out.
"
70,Is Facebook Messenger free in Facebook Free Mode?,"No, Facebook Messenger is not free.
"
71,"If I click a link in Facebook Free Mode, is it free?","No. In Facebook Free Mode, you can like, comment, post, share, and upload photos for free. If you want to view photos, watch videos, or read articles, you will be charged your standard data rate by Safaricom. If you try and click on a photo/video/link, you will be warned with a popup telling you that you are leaving Free Mode and will be charged at your standard rate.
"
72,"I registered for Facebook Free Mode with my Safaricom number, can I still access Facebook Free Mode from a different operator?","If you access the internet with a non-Safaricom number, you will not access Facebook Free Mode. Facebook Free Mode is exclusive to all Safaricom users.
"
73,"I registered for Facebook with my Safaricom number, now I cannot access Facebook Free Mode, Why?","Facebook Free Mode is available to all Safaricom users. Please restart the Facebook Android App or refresh your Facebook on mobile browser. Facebook Free Mode should appear. If you are not able to see Facebook Free Mode, please call our customer care.
"
74,What is Safaricom Home Fibre?,"It’s a service that provides you with fast, reliable and unlimited internet access from the comfort of your home. Once registered you will be given a WiFi router that will enable you to have wireless and LAN internet access.
"
75,What is the Safaricom Home Bonanza One Month Free Promotion?,"A promotion that gives you an additional One Month FREE subscription equivalent to the package you sign up for on Safaricom Home Fibre The packages available for you include:
Package
Speed
Monthly Cost
Validity Period
Bronze
5mbps
2900/-
30 Days
Bronze Plus
5mbps
3400/-
30 Days
Silver
10mbps
3999/-
30 Days
Silver Plus
10mbps
4999/-
30 Days
Gold
20mbps
5699/-
30 Days
Gold Plus
20mbps
6699/-
30 Days
Diamond
40mbps
11499/-
30 Days
Diamond Plus
40mbps
12499/-
30 Days
"
76,How do I request for the Safaricom Home Fibre service?,"Dial *400# and select “Get Safaricom Home Fibre” and follow the steps. If you’re in are in a fibre covered area, you will get a call back from Safaricom within 24 hours.
"
77,How can I check if my area is covered by Safaricom Home Fibre?,"Dial *400# and select the “Are you in my area” option. It will prompt you to enter information on your location. Alternatively you can visit the Safaricom HOME website via https://www.safaricom.co.ke/home/coverage.php
"
78,How do I know which subscription package will suit me and my family’s needs?,"Visit https://www.safaricom.co.ke/home/home-fibre.php and select the “Find out what package works for you” tab
"
79,How do I pay for the Fibre package that I subscribe to after receiving my account number?,"To pay, either;
Use the M-PESA PAYBILL no.150501 and key in your Safaricom Home Fibre account number in the ‘account number’ section
OR
dial *400#
select “Manage your subscriptions” and accept terms and conditions
enter your account number and pay via M-PESA
"
80,Who can take part in this promotion?,"Any first time Safaricom Home Fibre customer whose home is within a fibre covered area i.e. you haven’t connected to Safaricom Home Fibre before this promotion
"
81,What happens when my One Month free offer expires?,"Before expiry, you will receive a prompt to make payment via M-PESA to continue enjoying the service. To renew your subscription, use any of the payment options listed above or download the Safaricom HOME app.
"
82,What do I need to start using the service?,"You will be provided with a WiFi username and password to connect your device to Safaricom Home Fibre.
"
83,How do I terminate the service?,"Please send an e-mail to safaricomhome@safaricom.co.ke with details of your request. Once the service is cancelled, we will make arrangements to collect the WiFi router from your premises. You can also use the same details to connect to your Wi-Fi compatible devices.
"
84,"In case I need more information or assistance, which channels can I use?","Please call 400 from the number that you used to make payment for the service. Alternatively, you can send an email to safaricomhome@safaricom.co.ke.
"
85,How do I add an additional number to access line 400?,"Dial *400#
select “Manage your subscriptions”
select “Existing account”
select “Manage contact number”
“Add contact number”. Please enter number in the format (7xxxxxxxx) then confirm the details.
You will receive an SMS notification confirming the number has been added.
"
86,What is the Safaricom Wi-Fi Zone?,"This service will allow Safaricom customers to connect to Wi-Fi hotspots to access the internet.
"
87,How do I connect to the Safaricom Wi-Fi Zone?,
88,What are the Safaricom Wi-Fi Zone Passes available?,"They are as below:
PASS
PRICE
VALIDITY
*1 hour Pass
Ksh 10
1 hour
*24 hour Pass
Ksh 50
24 hours
30 day Pass
Ksh 1,500
30 days
*FREE 1 hour OR 24 hours
Ksh 0
1hour OR 24 hours
*Free for Safaricom Platinum and Safaricom HOME Fibre customers
*Your geographical location will determine the Wi-Fi zone package that you will be eligible to purchase.
*Wi-Fi Zone packages purchased can only be used within the Wi-Fi Zone the purchase was made.
"
89,I can see the Safaricom Wi-Fi Zone network but can’t connect. What do I do?,"Your Wi-Fi subscription may have expired. Please purchase a new subscription by connecting to the Wi-Fi “Safaricom Wi-Fi Zone” & following the prompts.
If you still can’t connect, please report the issue by dialing *544*80# or *485#
"
90,How do I connect to the network on my device?,
91,How many devices can I use on the Safaricom Wi-Fi network?,"The 30 day pass will allow you to connect up to 3 devices while the 1 hour and 24 hour passes will only allow you to connect 1 device at a time.
"
92,What is my username and password for the Safaricom Wi-Fi Zone?,"You will receive an SMS with a password once you input your mobile number. This will serve as your password. You do not need a username.
"
93,Where can I find the Safaricom Wi-Fi Zones?,"*We are planning to expand to more areas so be on the lookout for the Safaricom WiFi Zone branding.
Along Kencom and Aga Khan Walk
JKUAT Main campus
Pipeline
Roysambu
Eastleigh Amal Mall
Nanyuki
Umoja Market
Umoja Market
Kenyatta Market
Kibera
Pangani Shopping center
Gishagi
Congo
Riruta
"
94,What is the Data FREE 500Mbs Campaign?,"This is a data campaign where customers are assigned a daily data offer or (purchase a data bundle for a value equal or greater than their daily offer) and thereafter awarded FREE 500MBs that expires at midnight.
"
95,How does it work?,"Customers are assigned a daily bundle offer when they dial on *544#and select option zero.
The Free 500 Mbs is awarded immediately a customer buys their daily offer.
Customers can pay using their Airtime or by M-PESA.
Upon successful purchase, the customer gets a confirmation flash message and SMS “Congratulations! You have received your FREE 500MB data bundle Expiry date dd/mm/yyyy 00:00am, to check balance dial *544#
The daily offer bought is non expiry, while the FREE 500Mbs awarded expires at midnight on the day of purchase.
"
96,Can I get the FREE 500MB when I purchase a bundle of a higher amount than the offer presented?,"Yes. The FREE 500MB bundle is awarded upon the purchase of the daily offer or when the customer purchases a bundle higher than the offer allocated.
"
97,Can I Sambaza the Free 500MB?,"You cannot Sambaza or transfer FREE resources.
"
98,What is the validity period of the free 500MB?,"The FREE 500Mb bundle will be valid until midnight.
"
99,Will the bundle rollover?,"The FREE 500Mbs bundle will not roll over to the next day, however, the bundle bought with the airtime or M-PESA is non-expiry.
"
100,How many times do I get awarded the 500MBs?,"The FREE 500Mb bundle is only awarded once a day.
"
101,How can I view my daily offer?,"Customer dials *544# and select option zero to view their daily offer.
"
102,Which bundles qualify for the free 500MB?,"Only NON EXPIRY Bundles on USSD *544# and *555# (Blaze Non-Expiry) qualify for the free 500MB.
"
103,"If I purchase bundles in small amounts, do I get the free 500MB?","No. the Free 500 MBs are awarded only when you buy the bundle specified for you or a higher amount of the NON EXPIRY Bundles.
"
104,What is the order of priority in terms of usage?,"The free 500MB will be utilized first before any other bundle.
"
105,What is Internet For Business?,"This is a fast and affordable internet connection for small to medium sized businesses.
"
106,What packages can I subscribe to?,"You can subscribe to the following packages on a postpay or prepay plan:
INTERNET PACKAGE
FIBRE - PRICE (Incl Taxes)
(Free router included)
LTE - PRICE (Incl Taxes)
(Equipment sold separately)
Internet for Business 3 Mbps
KES 4,100/-
KES 3,699*/-
Internet for Business 5 Mbps
KES 5,799/-
KES 5,799/-
Internet for Business 10 Mbps
KES 15,699/-
Not available
Fair Usage Policy (FUP) means that the 3 Mbps package has a data usage limit of 100Gb. When exhausted, you will continue to access the internet at slower speed of 1 Mbps for a further 100Gb until you renew payment. The table below illustrates the Fair Usage Policy.
LTE Package
Price(incl. taxes)
Usage limit
Min
Max)
Usage after limit
Internet for Business 3Mbps LTE (Postpaid)
KES 3,999/-
100 GB
2 Mbps
5 Mbps
100GB @1 Mbps
"
107,Where can I get this service?,"Internet For Business is offered all over Kenya in areas covered by the Safaricom Business Fiber and/or 4G LTE network. What equipment is installed at the customer premise?The customer will receive the following equipment on installation:
Fiber: A free Wi-Fi enabled router Free routers will remain the property of Safaricom to be re-possessed when a customer chooses to unsubscribe from the service.
"
108,What equipment is installed at the customer premise?,"The customer will receive the following equipment on installation:
• An external antenna/access terminal
• A free Wi-Fi enabled router
This equipment is to be used exclusively for provision of this service and will remain the property of Safaricom to be re-possessed when a customer chooses to unsubscribe from the service.
"
109,How long will it take before Internet for Business service is installed at my premise?,"Service installation will start immediately after payment with the intention to complete installation within the shortest time possible.
"
110,Is there any installation fees?,"You will not be expected to pay any additional fees for installation. However, installation will not cover any internal LAN office cabling at the customer premise.
"
111,How does billing work?,"Postpay plan: Monthly bills shall be sent to you via email at the end of the month. Initial month will only be billed for the number of days used from the date of installation. You will need to pay a deposit equivalent to one month’s payment during the service activation process.
Prepay plan: You will be expected to pay for service before usage. Afterwards, service will be due for payment after 30 days from the date of payment. In case payment is not made on time, service will be disconnected until payment is made. Prepaid will initially be available for Fiber connections only.
"
112,How can I pay for my bill?,"Bill payment can be done in the following ways:
• Make payment via M-PESA
• Present cash, a cheque or pay via M-PESA at a Safaricom Shop
"
113,What is unlock your deal of the day campaign?,"This is a campaign where customers will be offered an amazing data deal for the day that will enable them to enjoy a worry free experience on our network.
"
114,How does it work?,"Customers are assigned a personalized data deal of the day.
Customer dials *544# and select option 0
Select the payment mode (airtime or M-pesa)
Upon successful purchase, the customer gets a confirmation flash message and SMS.
"
115,Can I Sambaza the data?,"Can I Sambaza the data?
"
116,What is the validity period of the data?,"The bundle will be valid for 24hours or 7days depending on the customers deal of the day.
"
117,Will the bundle roll over?,"The bundle will not roll over after it expires.
"
118,How many times can I buy the deal of the day?,"The offer is available to the customer for the purchase throughout the day. The customer can buy the bundle severally.
"
119,How can I view my daily deal of the day?,"Customer dials *544# and selects option zero to view their deal of the day.
"
120,"If I purchase bundles in small amounts to hit my target, do I get the deal?","No. only when you buy the bundle specified for you.
"
121,How can I see how my bundle has been spent?,"A customer can dial *544# and select check balance to see how they used their data.
"
122,What are the Free Safaricom Internet Offers?,"This is a daily personalized mobile data bundle that is awarded to each customer to enjoy Safaricom internet for free.
"
123,How can I Pay for this bundle?,"All you have to do is Dial *544# and select option 1 to access your personalized data offer.
"
124,Who is eligible for the bundle?,"The product is absolutely free. You will not need to pay for it.
"
125,Can I access the free bundle more than once per day?,"The bundle can be accessed by any Safaricom customer.
"
126,Will my free bundle be given priority for consumption?,"No, you will only be allowed to access your free bundle once a day.
"
127,Can I sambaza my free bundle?,"Yes, the Free bundle will be consumed first before other bundles are used.
"
128,Will the free Safaricom internet bundle roll-over?,"No, you will not be allowed to transfer the free internet bundle.
"
129,What is 5G?,"5G is the 5th generation mobile network. It is a new global wireless standard after 1G, 2G, 3G, and 4G networks. 5G enables a new kind of network that is designed to connect virtually everyone and everything together including machines, objects, and devices.
5G wireless technology is meant to deliver higher multi-Gbps peak data speeds, ultra-low latency, more reliability, massive network capacity, increased availability, and a more uniform user experience to more users.
"
130,What are the differences between the previous generations of mobile networks and 5G?,"The previous generations of mobile networks are 1G, 2G, 3G, and 4G.
First generation - 1G
1980s: 1G delivered analog voice.
Second generation - 2G
Early 1990s: 2G introduced digital voice (e.g. CDMA- Code Division Multiple Access).
Third generation - 3G
Early 2000s: 3G brought mobile data (e.g. CDMA2000).
Fourth generation - 4G LTE
2010s: 4G LTE ushered in the era of mobile broadband.
1G, 2G, 3G, and 4G all led to 5G, which is designed to provide more connectivity than was ever available before.
5G is a unified, more capable air interface. Compared to 4G, 5G has the potential to provide up to 20X faster data speeds and carry a massive amount of data for many simultaneous users. This allows users in high density areas to enjoy the fast speeds and low latency of 5G service.
"
131,Is 5G available now?,"Yes, 5G is already here today for Safaricom customers in select locations in 28 towns across 21 counties, with more coverage expansion planned countrywide. To check 5G coverage visit internet.safaricom.co.ke
"
132,Do I need a new phone if I want 5G?,"If you already own a 5G device, you don’t need a new phone. If your device is not 5G capable you can visit any of our Safaricom shop outlets where we have a wide range of 5G enabled phones that you can purchase. In addition, you will need to be in an area that has 5G coverage.
There are several mobile phones available that are designed to support 5G from manufacturers such as Apple, Samsung, Nokia, Huawei and Oppo.
"
133,Must I get a new sim card to get 5G network,"No, your normal SIM card will work.
"
134,Will a 5G phone work with other technologies anywhere?,"""Backward compatible"" 5G phones can function on older networks outside of 5G coverage areas. The experience will reflect the technology available at the time.
"
135,"Will my current 2G, 3G or 4G phone continue to work in the network?","Yes, the currently supported devices will continue to work.
"
136,What 5G services are available today?,"Customers and businesses in 5G-ready zones can access Safaricom 5G Wi-Fi by purchasing a 5G router and a data package. Customers can also purchase Safaricom 5G ready mobile data bundles for use on 5G enabled phones.
Learn more about 5G Wi-Fi for Home here Wireless Solutions (safaricom.co.ke)
Learn more about 5G Wi-Fi for Business here 5G for Business (safaricom.co.ke)
Learn more about 5G mobile data plans here 5G for Mobile Data Monthly Bundles FAQs (safaricom.co.ke)
"
137,Does 5G change my home internet service?,"Yes, 5G can change your home internet service with the super-fast speeds and low latency provided by 5G Wi-Fi. You will need a 5G router to enjoy the service.
"
138,How does 5G Wi-Fi internet work?,"5G fixed wireless internet connects you to 5G network using a 5G router and a SIM card. A 30-day subscription package is available for purchase providing speeds up to 100Mbps.
"
139,"My home Wi-Fi router has 5G in its name, do I already have 5G at home?","5G could refer to two things.
The 5G label on a home Wi-Fi router indicates that it operates in the 5GHz (gigahertz) spectrum band. Wi-Fi is based on a different technology than 5G or fifth-generation wireless. On a home modem or router, it stands for “5GHz” and it’s one of the two frequency bands routers can use to broadcast WIFI through your home. You might see it as an option next to 2.4 GHz.
"
140,What are some of the differences between 4G and 5G?,"5G is around 100 times faster than 4G! Given enough spectrum, it will work at average speeds of 150-200Mbps, and peak speeds will reach above 1Gbps. This means you’ll be able to download a full HD film in around 3 minutes (compared to over 15 minutes on 4G).
5G works at average speeds of 150-200Mbps, while 4G works at average speeds of only 23-35Mbps. By default, 5G will reach peak speeds higher than 1Gbps, but basic 4G works at a maximum speed of only 150Mbps.
5G speeds can vary and depend on multiple factors: how far away you are from a mast, which spectrum is being used, and how many people around you are using 5G.
Movies, gaming or music downloads are more convenient and amplified with 5G. If you have many different devices to connect inside a large home, 5G supports your experience on each device so that it’s seamless and uninterrupted.
"
141,Where is 5G being used?,"Broadly speaking, 5G is used across three main types of connected services, including enhanced mobile broadband, mission-critical communications, and the massive IoT. A defining capability of 5G is that it is designed for forward compatibility—the ability to flexibly support future services that are unknown today.
Enhanced mobile broadband: In addition to making our smartphones better, 5G mobile technology can usher in new immersive experiences such as VR and AR with faster, more uniform data rates, lower latency, and lower cost-per-bit.
Mission-critical communications: 5G can enable new services that can transform industries with ultra-reliable, available, low-latency links like remote control of critical infrastructure, vehicles, and medical procedures.
Massive IoT: 5G is meant to seamlessly connect a massive number of embedded sensors in virtually everything through the ability to scale down in data rates, power, and mobility—providing extremely lean and low-cost connectivity solutions.
"
142,How do businesses use 5G?,"5G will support businesses’ innovation ambitions and create new markets, transforming supply chain management and creating smarter, more efficient manufacturing. It’s also a fundamental platform for the Internet of Things (IoT). It is expected that more than half of all new businesses will rely on the “IoT” to cut costs, build efficiencies, and grow their bottom lines.
"
